,Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
0,GCAM5.3_NGFS,Below 2Â°C,ARG,Primary Energy|Coal,EJ/yr,,0.05305256,0.04484877,0.04038669,0.03693892,0.02365987,0.01012575,0.004901767,0.003275207,0.002993314,0.003840213,0.004050343,0.003160724,0.003544887,0.004379675,0.005437515,0.0065365769999999,0.007955097,0.0096636569999999,0.01022981
1,GCAM5.3_NGFS,Below 2Â°C,ARG,Primary Energy|Gas,EJ/yr,,1.63459,1.801858,1.697788,1.639422,1.613728,1.522381,1.451086,1.34679,1.180099,1.043553,0.8744203,0.638653,0.6527562,0.6628084,0.6564336,0.6675364,0.7175008,0.7740634,0.769145699999999
2,GCAM5.3_NGFS,Below 2Â°C,ARG,Primary Energy|Oil,EJ/yr,,1.46876299999999,1.49082199999999,1.383405,1.349828,1.360311,1.32945499999999,1.234515,1.12565,1.01096,0.888385499999999,0.7702026,0.6433867,0.6031301,0.5671389,0.536619499999999,0.502756,0.477485499999999,0.4660952,0.4362876
3,GCAM5.3_NGFS,Below 2Â°C,BRA,Primary Energy|Coal,EJ/yr,0.551071699999999,0.6320793,0.7657848,0.730413699999999,0.7209785,0.6488798,0.5483263,0.4818689,0.453863299999999,0.439657099999999,0.455389999999999,0.4439487,0.4020416,0.4038814,0.4012502,0.3916777,0.378888799999999,0.3689063,0.364436,0.3406645
4,GCAM5.3_NGFS,Below 2Â°C,BRA,Primary Energy|Gas,EJ/yr,0.7460621,1.03207,1.58423,1.491494,1.558452,1.749061,1.90665,2.120557,2.246171,2.121476,2.074049,1.919929,1.475488,1.575404,1.652235,1.607479,1.526363,1.561332,1.650728,1.514462
5,GCAM5.3_NGFS,Below 2Â°C,BRA,Primary Energy|Oil,EJ/yr,4.011104,4.722444,5.179229,4.938673,4.856058,4.764447,4.638504,4.295364,3.83725899999999,3.262844,2.796358,2.342102,1.89361199999999,1.859425,1.951568,2.061873,2.094614,2.073386,2.045344,1.898463
6,GCAM5.3_NGFS,Below 2Â°C,CAN,Primary Energy|Coal,EJ/yr,,0.981592199999999,0.7736012,0.7061094,0.6925624,0.5105483,0.272002199999999,0.1716522,0.1354539,0.128411,0.1450859,0.1436882,0.1198783,0.131313799999999,0.145692799999999,0.1564121,0.1677389,0.1803572,0.1911817,0.1786374
7,GCAM5.3_NGFS,Below 2Â°C,CAN,Primary Energy|Gas,EJ/yr,,3.379577,4.08216299999999,4.283908,4.11778399999999,3.84871699999999,3.484648,3.189707,2.897837,2.504597,2.173745,1.76938699999999,1.202975,1.220793,1.229341,1.202898,1.195526,1.277145,1.370715,1.330674
8,GCAM5.3_NGFS,Below 2Â°C,CAN,Primary Energy|Oil,EJ/yr,,4.431874,4.640274,4.669304,4.605239,4.33458399999999,4.08781,3.72293099999999,3.403519,3.047592,2.721399,2.407325,2.078449,2.03326,2.011261,2.023653,1.965227,1.91162799999999,1.909931,1.796809
9,GCAM5.3_NGFS,Below 2Â°C,CHN,Primary Energy|Coal,EJ/yr,53.01266,75.4935699999999,86.5517199999999,95.76611,84.78494,69.9683199999999,54.67348,39.87229,28.0598299999999,22.21582,20.5132,17.6826799999999,13.415,12.77702,12.24894,11.54454,10.83307,10.2736399999999,9.967341,9.146252
10,GCAM5.3_NGFS,Below 2Â°C,CHN,Primary Energy|Gas,EJ/yr,1.524769,4.386881,6.58799999999999,8.173427,9.726038,10.83765,12.02469,13.0267,13.35347,12.36818,10.82306,8.974587,6.868073,6.92406799999999,6.800585,6.343639,5.996924,6.063777,6.071415,5.763811
11,GCAM5.3_NGFS,Below 2Â°C,CHN,Primary Energy|Oil,EJ/yr,15.89233,21.29968,25.55765,27.38583,30.55511,31.97302,32.5584099999999,31.61149,29.51935,26.7842299999999,23.28016,19.41795,15.49881,14.40227,13.4451399999999,12.42193,11.40967,10.64226,10.08241,9.235926
12,GCAM5.3_NGFS,Below 2Â°C,EU,Primary Energy|Coal,EJ/yr,14.142635,12.568703,11.710325,11.10041,9.69843399999999,7.354265,4.34459,2.80905,1.71058539999999,1.39710689999999,1.41190089999999,1.33178,1.098637,1.10399349999999,1.0993311,1.0660181,1.037367,1.0015296,0.9604946,0.866157
13,GCAM5.3_NGFS,Below 2Â°C,EU,Primary Energy|Gas,EJ/yr,18.915895,19.250605,15.459596,16.097125,14.809493,13.9545459999999,12.75866,11.93398,11.011863,9.507565,8.04186,6.510629,4.926437,5.113809,5.468974,5.842662,6.1339708,6.460076,6.707644,6.383554
